S.No.,State Code,State Name,Local Body Code,Local Body Version,Local Body Name (In English),Local Body Name (In Local),Localbody Type Code,Census 2011 Code
1259,29,Karnataka,276533,4,Chandapura,CHANDAPURA,25,0
1260,29,Karnataka,251943,4,Channagiri,Channagiri,25,803129
1261,29,Karnataka,253185,5,Channapatna,Channapatna,24,803239
1262,29,Karnataka,252016,4,Channarayapatna,Channarayapatna,25,803178
1263,29,Karnataka,276578,4,Chennammana Kittur,CHENNAMMANA KITTUR,7,0
1264,29,Karnataka,251979,6,Chik Ballapur,Chik Ballapur,24,803227
1265,29,Karnataka,299318,2,Chikkabanavara,Chikkabanavara,25,0
1266,29,Karnataka,251965,4,Chikkamagaluru,Chikkamagaluru,24,803149
1267,29,Karnataka,251968,4,Chiknayakanhalli,Chiknayakanhalli,25,803152
1268,29,Karnataka,251811,3,Chikodi,Chikodi,25,803023
1269,29,Karnataka,276477,4,Chinchali,CHINCHALI,7,0
1270,29,Karnataka,276568,6,Chinchali,CHINCHALI,25,0
1271,29,Karnataka,251983,7,Chintamani,Chintamani,24,803231
1272,29,Karnataka,251869,3,Chitgoppa,Chitgoppa,25,803062
1273,29,Karnataka,251934,3,Chitradurga,Chitradurga,24,803120
1274,29,Karnataka,251853,6,Chittapura,Chittapura,25,803210
1275,29,Karnataka,251899,2,Dandeli,Dandeli,24,803089
1276,29,Karnataka,251941,3,Davanagere,Davanagere,4,803127
1277,29,Karnataka,251874,5,Devadurga,Devadurga,25,803066
1278,29,Karnataka,251994,3,Devanahalli,Devanahalli,25,803235
1279,29,Karnataka,276558,5,Devarahipparagi,DEVARAHIPPARAGI,7,0
1280,29,Karnataka,251992,4,Dod Ballapur,Dod Ballapur,24,803233
1281,29,Karnataka,301176,4,Doddathoguru,Doddathoguru,7,0
1282,29,Karnataka,276575,3,Examba,EXAMBA,7,0
1283,29,Karnataka,251888,3,Gadag-Betigeri,Gadag-Betigeri,24,803078
1284,29,Karnataka,251886,2,Gajendragarh,Gajendragarh,25,803076
1285,29,Karnataka,251881,3,Gangawati,Gangawati,24,803072
1286,29,Karnataka,251978,5,Gauribidanur,Gauribidanur,24,803226
1287,29,Karnataka,276574,6,Ghataprabha,Ghataprabha,25,0
1288,29,Karnataka,251818,4,Gokak,Gokak,24,803030
1289,29,Karnataka,251974,3,Gubbi,Gubbi,7,803158
1290,29,Karnataka,251980,2,Gudibanda,Gudibanda,7,803228
1291,29,Karnataka,251838,3,Guledgudda,Guledgudda,25,803047
1292,29,Karnataka,252053,3,Gundlupet,Gundlupet,25,803200
1293,29,Karnataka,251862,6,Gurmatkal,Gurmatkal,25,803218
1294,29,Karnataka,276521,2,Guttal,GUTTAL,7,0
1295,29,Karnataka,276535,8,Hagaribommanahalli,HAGARIBOMMANAHALLI,25,0
1296,29,Karnataka,251901,7,Haliyal,Haliyal,25,803091
1297,29,Karnataka,277668,2,Hallikheda (B),ಹಳ್ಳಿಖೇಡ (ಬಿ),25,0
1298,29,Karnataka,251915,3,Hangal,Hangal,25,803103
1299,29,Karnataka,253130,3,Hanur,Hanur,7,803204
1300,29,Karnataka,251939,5,Harapanahalli,Harapanahalli,25,803125
1301,29,Karnataka,251938,6,Harihar,Harihar,24,803124
1302,29,Karnataka,276569,4,Harogeri,HAROGERI,25,0
1303,29,Karnataka,299326,3,Harohalli,Harohalli,7,0
1304,29,Karnataka,252012,6,Hassan,Hassan,24,803174
1305,29,Karnataka,251873,5,Hatti,Hatti,7,0
1306,29,Karnataka,251872,2,Hatti Gold Mines,Hatti Gold Mines,6,803065
1307,29,Karnataka,251916,2,Haveri,Haveri,24,803104
1308,29,Karnataka,276463,6,Hebbugodi,HEBBUGODI,24,0
1309,29,Karnataka,252049,3,Heggadadevankote,Heggadadevankote,25,803195
1310,29,Karnataka,251918,2,Hirekerur,Hirekerur,7,803106
1311,29,Karnataka,251937,3,Hiriyur,Hiriyur,24,803123
1312,29,Karnataka,251935,3,Holalkere,Holalkere,25,803121
1313,29,Karnataka,299180,2,Holehonnuru,Holehonnuru,7,0
1314,29,Karnataka,252015,4,Hole Narsipur,Hole Narsipur,25,803177
1315,29,Karnataka,251868,5,Homnabad,Homnabad,25,803061
1316,29,Karnataka,251909,1,Honavar,Honavar,7,803098
1317,29,Karnataka,251942,5,Honnali,Honnali,25,803128
